name,lat,lon,住所,施設種別,対応している災害の種別
浅川河川敷（長沼橋付近～市立上壱分方小学校付近）,35.667613,139.314149,東京都八王子市元本郷町3-500-4,広域避難場所,地震
富士森公園,35.650935,139.32289,東京都八王子市台町2-2,広域避難場所,地震
陵南公園,35.649184,139.289186,東京都八王子市長房町、東浅川町,広域避難場所,地震
小宮公園,35.672756,139.340966,東京都八王子市大谷町、暁町二丁目,広域避難場所,地震
工学院大学,35.686712,139.318743,東京都八王子市中野町2665-1,広域避難場所,地震
東京都立大学,35.618423,139.380064,東京都八王子市南大沢1-1,広域避難場所,地震
中央大学,35.641514,139.405652,東京都八王子市東中野742-1,広域避難場所,地震
東京工科大学,35.626417000000004,139.339317,東京都八王子市片倉町1404-1,広域避難場所,地震
東京薬科大学,35.638776,139.383892,東京都八王子市堀之内1432-1,広域避難場所,地震
創価大学,35.689577,139.328499,東京都八王子市丹木町1-236,広域避難場所,地震
拓殖大学,35.628599,139.279599,東京都八王子市館町815-1,広域避難場所,地震
明星大学,35.644958,139.408491,東京都日野市程久保2-1-1,広域避難場所,地震
第一小学校,35.6613739,139.3364539,東京都八王子市元横山町2－14－3,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
第二小学校,35.6616623,139.3219191,東京都八王子市八木町7－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
第三小学校,35.6553273,139.3322323,東京都八王子市寺町29－15,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
第四小学校,35.657994,139.3459976,東京都八王子市明神町2－15－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
第五小学校,35.6587429,139.3083482,東京都八王子市千人町3－7－7,一時避難場所・避難所,地震
いずみの森義務教育学校,35.650111,139.341515,東京都八王子市子安町2－19－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
第七小学校,35.6569852,139.3240218,東京都八王子市台町4－2－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
第八小学校,35.6715566,139.360782,東京都八王子市石川町2065,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
第九小学校,35.6708641,139.3251074,東京都八王子市中野上町2－14－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
第十小学校,35.6662013,139.3436281,東京都八王子市大和田町7－5－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
中野北小学校,35.6742304,139.3267405,東京都八王子市中野山王3－1－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
清水小学校,35.676105,139.3194633,東京都八王子市中野山王3－25－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
大和田小学校,35.6655906,139.3543189,東京都八王子市大和田町4－19－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
小宮小学校,35.6837025,139.367681,東京都八王子市小宮町1128－3,一時避難場所・避難所,地震
高倉小学校,35.6623521,139.3657458,東京都八王子市高倉町67－2,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
宇津木台小学校,35.6866992,139.3541877,東京都八王子市久保山町2－18,一時避難場所・避難所,地震
横山第一小学校,35.6339213,139.304541,東京都八王子市館町74,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
横山第二小学校,35.6539768,139.3016128,東京都八王子市並木町26－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
散田小学校,35.6477665,139.3015741,東京都八王子市散田町5－23－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
長房小学校,35.6580207,139.3004545,東京都八王子市長房町340－4,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
船田小学校,35.6569761,139.2885972,東京都八王子市長房町1041－2,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
館小中学校　本校舎,35.630055,139.290804,東京都八王子市館町1097-15,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
山田小学校,35.6468001,139.3136064,東京都八王子市山田町1553,一時避難場所・避難所,地震
椚田小学校,35.6366236,139.3022716,東京都八王子市椚田町571－2,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
緑が丘小学校,35.6225484,139.3099857,東京都八王子市寺田町405－5,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
元八王子小学校,35.6697188,139.2920132,東京都八王子市弐分方町761,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
元八王子東小学校,35.6712829,139.3043426,東京都八王子市叶谷町1521,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
上壱分方小学校,35.6848223,139.2839552,東京都八王子市上壱分方町799－2,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
城山小学校,35.6591173,139.2776705,東京都八王子市元八王子町2－1767,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
弐分方小学校,35.6717518,139.2884885,東京都八王子市弐分方町520－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
横川小学校,35.6672168,139.307323,東京都八王子市横川町305,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
恩方第一小学校,35.669779,139.254416,東京都八王子市下恩方町1369,一時避難場所・避難所,地震
恩方第二小学校,35.6726981,139.2104752,東京都八王子市上恩方町2193,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
元木小学校,35.6810307,139.264482,東京都八王子市下恩方町515－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
川口小学校,35.6923798,139.2803691,東京都八王子市川口町3675,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
陶鎔小学校,35.688031,139.3079529,東京都八王子市犬目町56,一時避難場所・避難所,地震
上川口小学校,35.7055424,139.2500715,東京都八王子市上川町1099,一時避難場所・避難所,地震
美山小学校,35.6909329,139.2483168,東京都八王子市美山町1892,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
楢原小学校,35.6755713,139.307395,東京都八王子市楢原町1287－2,一時避難場所・避難所,地震
松枝小学校,35.6851367,139.3022952,東京都八王子市楢原町601－13,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
加住小中学校　本校舎,35.7019684,139.3168628,東京都八王子市加住町1－191,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
由井第一小学校,35.645793,139.3562971,東京都八王子市打越町348－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
由井第二小学校,35.6366075,139.3382101,東京都八王子市片倉町2180,一時避難場所・避難所,地震
由井第三小学校,35.642787,139.327819,東京都八王子市小比企町1201,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
長沼小学校,35.6424712,139.3654605,東京都八王子市長沼町707－3,一時避難場所・避難所,地震
片倉台小学校,35.6313112,139.3461152,東京都八王子市片倉町1318,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
高嶺小学校,35.6284006,139.3507372,東京都八王子市北野台4－21－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
みなみ野小学校（みなみ野小中学校）,35.6328271,139.3233061,東京都八王子市みなみ野6－14－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
みなみ野君田小学校,35.627178,139.324846,東京都八王子市みなみ野4-3-1,一時避難場所・避難所,地震
七国小学校,35.6207126,139.3207043,東京都八王子市七国5－27－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
浅川小学校,35.640287,139.2821207,東京都八王子市初沢町1335,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
東浅川小学校,35.643145,139.28622,東京都八王子市東浅川町550－22,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
由木中央小学校,35.6299893,139.3834015,東京都八王子市下柚木25,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
由木東小学校,35.6334395,139.407941,東京都八王子市東中野1347,一時避難場所・避難所,地震
由木西小学校,35.6231374,139.3614006,東京都八王子市上柚木538－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
鹿島小学校,35.6335373,139.4260894,東京都八王子市鹿島13,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
松が谷小学校,35.6283542,139.4136823,東京都八王子市松が谷12,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
中山小学校,35.6256704,139.3584395,東京都八王子市中山1155,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
柏木小学校,35.609823,139.382724,東京都八王子市南大沢3－3,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
南大沢小学校,35.6082392,139.3744641,東京都八王子市南大沢4－18,一時避難場所・避難所,地震
宮上小学校,35.610225,139.3713504,東京都八王子市南大沢5－10,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
秋葉台小学校,35.624609,139.405254,東京都八王子市別所2－5,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
別所小学校,35.614656,139.395527,東京都八王子市別所2－44,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
愛宕小学校,35.6191323,139.373136,東京都八王子市上柚木3－20,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
松木小学校,35.621871,139.3934482,東京都八王子市松木57－3,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
下柚木小学校,35.6225708,139.380877,東京都八王子市下柚木3－9,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
上柚木小学校,35.6159716,139.3689115,東京都八王子市上柚木3－15,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
長池小学校,35.6107611,139.3884406,東京都八王子市別所1-55,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
鑓水小学校,35.6126859,139.3636259,東京都八王子市鑓水2－74,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
第一中学校,35.6700151,139.3613236,東京都八王子市石川町2957－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
第二中学校,35.6706027,139.3152,東京都八王子市中野上町4－28－1,一時避難場所・避難所,地震
第四中学校,35.6662062,139.3198247,東京都八王子市元本郷町2－21－1,一時避難場所・避難所,地震
第五中学校,35.6612297,139.3447976,東京都八王子市明神町4－19－1,一時避難場所・避難所,地震
第六中学校,35.6532163,139.3299186,東京都八王子市上野町97,一時避難場所・避難所,地震
第七中学校,35.6503719,139.3162505,東京都八王子市散田町2－2－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
ひよどり山中学校,35.6755723,139.3390172,東京都八王子市暁町3－1－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
甲ノ原中学校,35.6827098,139.3218102,東京都八王子市中野町2639－2,一時避難場所・避難所,地震
石川中学校,35.683133,139.3574514,東京都八王子市久保山町2－55,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
横山中学校,35.6487498,139.3025796,東京都八王子市散田町5－22－36,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
長房中学校,35.6581676,139.2882472,東京都八王子市長房町1041－1,一時避難場所・避難所,地震
館小中学校　分校舎,35.627579,139.291184,東京都八王子市館町1097-25,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
椚田中学校,35.6340547,139.3077852,東京都八王子市椚田町172,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
元八王子中学校,35.6723435,139.2937158,東京都八王子市大楽寺町415,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
四谷中学校,35.6774708,139.2962793,東京都八王子市四谷町555,一時避難場所・避難所,地震
横川中学校,35.668461,139.3053287,東京都八王子市横川町364,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
城山中学校,35.6693463,139.2819975,東京都八王子市川町792－2,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
恩方中学校,35.6698465,139.2426462,東京都八王子市上恩方町11,一時避難場所・避難所,地震
川口中学校,35.6938824,139.283916,東京都八王子市川口町2555,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
楢原中学校,35.6786573,139.3139749,東京都八王子市楢原町1235,一時避難場所・避難所,地震
加住小中学校　分校舎,35.7039764,139.3137019,東京都八王子市宮下町108－7,一時避難場所・避難所,地震
由井中学校,35.6449815,139.3398402,東京都八王子市片倉町553,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
打越中学校,35.6453653,139.3575664,東京都八王子市打越町349－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
みなみ野中学校（みなみ野小中学校）,35.6322439,139.322259,東京都八王子市みなみ野6－14－2,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
七国中学校,35.6207376,139.3221013,東京都八王子市七国6－41－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
浅川中学校,35.6385067,139.2799488,東京都八王子市初沢町1370,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
陵南中学校,35.6455251,139.2932472,東京都八王子市東浅川町553－9,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
由木中学校,35.627023,139.3851098,東京都八王子市下柚木2－34－2,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
松が谷中学校,35.6298763,139.4174708,東京都八王子市松が谷23,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
中山中学校,35.6242622,139.3579563,東京都八王子市中山1158－1,一時避難場所・避難所,地震
南大沢中学校,35.6083975,139.380447,東京都八王子市南大沢3－7,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
宮上中学校,35.613445,139.373414,東京都八王子市南大沢5－5,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
別所中学校,35.619613,139.401436,東京都八王子市別所2－28,一時避難場所・避難所,地震
上柚木中学校,35.6175992,139.370489,東京都八王子市上柚木3－17,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
松木中学校,35.6180548,139.3918457,東京都八王子市別所1－34－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
鑓水中学校,35.613387,139.360127,東京都八王子市鑓水2－67,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
高尾山学園（小・中学部）,35.6246091,139.2886625,東京都八王子市館町1097-30,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
大和田市民センター,35.663113,139.3519386,東京都八王子市大和田町5-9-1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・内水氾濫
長房市民センター,35.6504078,139.2953024,東京都八王子市長房町506-2,一時避難場所・避難所,
浅川市民センター,35.6436281,139.2767629,東京都八王子市高尾町1652-1,一時避難場所・避難所,
子安市民センター,35.6506363,139.3446147,東京都八王子市子安町2-6-1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・内水氾濫
由木中央市民センター,35.6269394,139.3823722,東京都八王子市下柚木2-10-6,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・内水氾濫
由井市民センター,35.6413403,139.3401986,東京都八王子市片倉町702-1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・内水氾濫
元八王子市民センター,35.6831254,139.2862467,東京都八王子市上壱分方町747-1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・内水氾濫
由木東市民センター,35.6342148,139.4215509,東京都八王子市鹿島111-1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・内水氾濫
中野市民センター,35.6817154,139.3185716,東京都八王子市中野町2726-7,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・内水氾濫
石川市民センター,35.6804871,139.3643233,東京都八王子市石川町438,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・内水氾濫
恩方市民センター,35.673976,139.2687457,東京都八王子市西寺方町260-4,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・内水氾濫
台町市民センター,35.6550731,139.320038,東京都八王子市台町3-20-1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・内水氾濫
南大沢市民センター,35.6119415,139.3792608,東京都八王子市南大沢2-27 南大沢総合ｾﾝﾀｰ3F,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・内水氾濫
川口市民センター,35.6867253,139.298776,東京都八王子市川口町3838 川口やまゆり館内,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・内水氾濫
加住市民センター,35.6995717,139.3239178,東京都八王子市加住町1-338,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・内水氾濫
横山南市民センター,35.6337769,139.3105238,東京都八王子市椚田町137－3,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・内水氾濫
稲荷山行政資料保管等施設（旧稲荷山小学校）,35.6204238,139.3002089,東京都八王子市寺田町1455－3,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
デジタルハリウッド大学,35.6298348,139.4214843,東京都八王子市松が谷1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
富士森体育館,35.6503942,139.3225805,東京都八王子市台町2-3-7,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・内水氾濫
夕やけ小やけふれあいの里,35.6695985,139.2164331,東京都八王子市上恩方町2030,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
八王子桑志高等学校,35.6580902,139.3053735,東京都八王子市千人町4－8－1,一時避難場所・避難所,地震
八王子拓真高等学校,35.6547075,139.3172503,東京都八王子市台町3－25－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
南多摩中等教育学校,35.6606326,139.3442921,東京都八王子市明神町4－20－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
富士森高等学校,35.6572069,139.3020016,東京都八王子市長房町420-2,一時避難場所・避難所,地震
片倉高等学校,35.6297141,139.3407741,東京都八王子市片倉町1643,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
八王子東高等学校,35.6619049,139.3644126,東京都八王子市高倉町68－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
八王子北高等学校,35.6851978,139.3029507,東京都八王子市楢原町601,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
翔陽高等学校,35.629225,139.2913175,東京都八王子市館町1097－136,一時避難場所・避難所,地震
松が谷高等学校,35.6282652,139.4103298,東京都八王子市松が谷1772,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
高尾の森　わくわくビレッジ,35.6736762,139.2766506,東京都八王子市川町55,一時避難場所,地震
清水公園,35.682738,139.312327,東京都八王子市犬目町,広域避難場所,地震
共立女子学園,35.660692,139.291148,東京都八王子市元八王子町1－710,広域避難場所,地震
